General Information,,,Data Category #1: Test Organism,,,,,,Data Category #2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #3: Biological Effects,,,,,,,,Category #4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Category #5: Quality Criteria,,,,,,,,,,,,,,,Screening Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro In vivo,Sex,Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Media Salinity (ppt),Media pH,Media Temp (Mean),Media Temp Min,Media Temp Max,Exposure Duration (Days),Treatments,Replicates,Dosing Frequency,Sample Size,Nominal Dose - Mass,Nominal Dose - Mass Units,Nominal Dose - Particles,Nominal Dose - Particles Units,Nominal Dose Alternative Category,Nominal Dose - Alternative Type,Nominal Dose - Alternative Type Units,Nominal Chemicals Added,Nominal Added Chemical Dose,Nominal Added Chemical Dose Units,Measured Dose - Mass,Measured Dose - Mass Units,Measured Dose - Particles,Measured Dose - Particles Units,Measured Dose Alternative Category,Measured Dose Alternative,Measured Dose Alternative Units,Measured Chemicals Added,Measured Chemical Dose,Measured Chemical Dose Units,Effect,Effect Metric,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Polymer,Density (g/cm^3),Density (Reported/Estimated),Shape,Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Size Length mm Nominal,Size Length mm Nominal (minimum),Size Length mm Nominal (maximum),Size Length mm Measured,Size Length mm Measured (minimum),Size Length mm Measured (Maximum),Size Width mm Nominal,Size Width mm Nominal (minimum),Size Width mm Nominal (maximum),Size Width mm Measured,Size Width mm Measured (minimum),Size Width mm Measured (maximum),Size Height mm Nominal,Size Height mm Nominal (minimum),Size Height mm Nominal (maximum),Size Height mm Measured,Size Height mm Measured (minimum),Size Height mm Measured (maximum),Weathered or Biofouled?,Size Validated?,Shape Validated?,Polymer Validated?,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?,Tech A1,Tech A2,Tech A3,Tech A4,Tech A5,Tech A6,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8,Tech 9,Tech 10,Tech 11,Tech 12,Risk B1,Risk 13,Risk 14,Risk 15,Risk 16,Risk 17,Risk 18,Risk 19,Risk 20,Tech Total,Risk Total,Overall Total
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,liver,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,muscle,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,liver,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,muscle,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,liver,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,muscle,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,liver,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Oryzias melastigma ,Fish,Marine,Adult,In Vivo,NA,Particle Only,food,No,Yes,No,filtered natural seawater,NA,NA,25,NA,26,25,27,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,muscle,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,Pass,Pass,Pass,Pass,Pass,Pass,2,0,2,2,1,0,0,0,0,0,0,2,Fail,1,2,0,0,0,0,1,2,9,6,15
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,brain,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,liver,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,muscle,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,liver,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,Metabolism,Detoxification,EROD Activity,Subcell,muscle,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,brain,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,liver,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,muscle,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,liver,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,"Behavioral, Sensory, Neurological",Nervous System,AcHE Activity,Subcell,muscle,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,brain,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,liver,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,70.22,µg/g,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,muscle,Polyethylene,0.935,estimated,Not Reported,NA,NA,NA,NA,NA,0.011,0.013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
https://doi.org/10.1016/j.jhazmat.2021.125626,Cormier,2021,Danio rerio,Fish,Freshwater,Adult,In Vivo,NA,Chemical Co-Exposure,food,No,Yes,No,artificial medium,NA,NA,NA,7.8,27,26,28,120,1,3,1,30,NA,NA,NA,NA,Percentage of food,1,% wet weight food,PFOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,PFOS,159.54,µg/g,No,NA,NA,Metabolism,Oxidative Stress,Lipid Peroxidation,Subcell,brain,Polyvinylchloride,1.34,estimated,Not Reported,NA,NA,NA,NA,NA,0.125,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,commercial,unknown,no,Not Cleaned,No,No,No,homogenous mixture within food microscopy,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
